Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide Number,Source Website,Complimentry Resources,
HYDRO-20240627-WBTC-SRB-0005,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,6,27,2024,0,0,Summer,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Beograd-Lazarevac,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,UVS u Beogradu,
HYDRO-20240627-WBTC-SRB-0006,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,6,27,2024,0,0,Summer,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,2,Beograd-Lazarevac,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,UVS u Beogradu,
HYDRO-20240522-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,5,22,2024,0,0,Spring,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Vladičin Han,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Vranju,
HYDRO-20240401-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,4,1,2024,0,0,Spring,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prijepolje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20240906-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,9,6,2024,0,0,Autumn,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Priboj,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20240903-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,9,3,2024,0,0,Autumn,28/12/2025,1/29/2026,200,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Priboj,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20240905-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,9,5,2024,0,0,Autumn,28/12/2025,1/29/2026,30,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Bela Palanka,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,"Gorela je suva trava, nisko rastinje i mešovita šuma na površini od oko 30ha."
MET-20240825-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,25,2024,0,0,Summer,28/12/2025,1/29/2026,480,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Žagubica,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Požarevcu,
MET-20240430-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,30,2024,0,0,Spring,28/12/2025,1/29/2026,5,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prijepolje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20240415-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,15,2024,0,0,Spring,28/12/2025,1/29/2026,40,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Tutin,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Novom Pazaru,
